brand,model,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,age,Engine_Displacement
14,Utility Police Interceptor Base,51000.0,1,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,0,0,0,0,1,10300.0,11,3.7
20,Q50 Hybrid Sport,88900.0,4,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,0,0,0,1,1,15500.0,9,3.8
27,RC 350 F Sport,23436.0,3,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,41927.0,3,3.5
52,Model X Long Range Plus,34000.0,2,534.0HP Electric Motor Electric Fuel System,0,0,0,1,1,69950.0,4,3.5
28,Aviator Reserve AWD,18196.0,3,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,0,0,2,1,1,62000.0,2,2.0
11,Challenger SXT,61074.0,3,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,0,0,3,1,1,16800.0,11,2.4
19,Elantra N Base,11650.0,3,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,0,0,0,1,1,32300.0,2,2.0
3,Q5 2.0T Premium Plus,81880.0,1,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,0,0,0,1,1,21375.0,7,4.4
4,i3 120Ah w/Range Extender,35035.0,4,120 AH,0,0,0,1,0,24998.0,4,3.5
24,Sorento SX,171000.0,3,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,5999.0,13,3.683781266631186
27,LX 570 Base,118700.0,3,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,0,0,6,1,1,46900.0,8,3.683781266631186
5,Continental GTC Base,20200.0,1,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,0,0,0,1,1,79950.0,13,5.2
3,A7 Premium,54000.0,3,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,0,0,2,0,1,36880.0,12,3.0
9,Silverado 1500 Custom Trail Boss,51351.0,3,5.3L V8 16V GDI OHV,0,0,0,1,1,43147.0,3,3.0
31,Convertible John Cooper Works,24280.0,3,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,0,0,0,0,1,29000.0,7,2.0
53,Avalon Touring,89148.0,3,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,17500.0,8,5.0
36,CLA-Class CLA 250,120000.0,3,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,0,0,0,1,1,19800.0,8,2.0
14,Mustang GT Premium,37060.0,3,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,2,0,0,1,1,28500.0,10,3.6
55,XC90 Hybrid T8 R-Design,40000.0,4,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,0,0,0,1,1,42000.0,6,3.5
36,GLK-Class GLK 350,186000.0,3,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,0,0,6,0,1,10000.0,10,5.0
27,IS 350 Base,104000.0,3,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,21000.0,10,3.5
3,A5 2.0T Premium Plus,47523.0,3,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,0,0,0,1,1,31000.0,5,2.2
4,M4 Base,57800.0,3,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,0,0,7,1,1,55999.0,5,3.0
3,RS 5 2.9T,21240.0,3,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,0,0,0,0,1,59950.0,5,3.5
43,Cayenne Base,59338.0,3,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,42499.0,5,5.3
32,Quattroporte S,23230.0,3,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,44999.0,5,2.0
4,740 Li,85252.0,3,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,18500.0,12,1.8
36,GLS 450 Base 4MATIC,17900.0,4,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,3,0,0,0,1,80000.0,4,2.0
2,Martin DBS Superleggera,2165.0,3,5.2L V12 48V GDI DOHC Twin Turbo,0,0,0,1,1,279950.0,3,4.4
4,525 i,91420.0,3,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,8900.0,19,2.0
15,Acadia SLT-1,116226.0,3,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,7900.0,12,3.0
26,Rover LR4 HSE LUX Landmark Edition,144000.0,3,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,0,0,0,0,1,18000.0,8,5.7
4,750 750i xDrive,10917.0,3,4.4 Liter Twin Turbo,0,0,0,1,0,73998.0,3,3.683781266631186
36,AMG GL AMG GL 63 4MATIC,69000.0,3,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,0,0,2,1,1,36500.0,8,3.5
3,Q7 3.0T Premium Plus,98527.0,3,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,0,9995.0,9,5.7
30,Air Pure,1300.0,2,620.0HP Electric Motor Electric Fuel System,0,0,3,1,0,86900.0,1,2.4
4,650 Gran Coupe i xDrive,41000.0,3,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,0,0,0,1,1,30000.0,9,3.0
50,Forester Premium,42125.0,3,2.5L H4 16V GDI DOHC,1,0,0,1,1,27899.0,3,2.0
36,AMG C AMG C 63,62000.0,3,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,0,0,0,1,1,40000.0,8,2.7
43,911 Carrera S,18494.0,3,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,2,0,0,1,0,86900.0,11,2.0
19,Kona N Base,654.0,3,2.0L I4 16V GDI DOHC Turbo,0,0,0,1,1,34599.0,1,6.0
9,Monte Carlo SS,75000.0,3,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,0,0,0,1,1,12500.0,19,3.5
13,FF Base,19987.0,3,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,0,0,2,1,1,149900.0,8,3.0
24,K900 5.0L,36486.0,3,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,0,0,6,0,1,23950.0,7,4.4
14,E150 XLT,162100.0,1,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,0,0,3,1,1,12500.0,11,3.683781266631186
52,Model 3 Performance,13079.0,2,455.0HP Electric Motor Electric Fuel System,0,0,9,1,1,47000.0,2,3.0
50,Forester Base,32744.0,3,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,1,0,3,1,1,24000.0,4,5.3
44,2500 Laramie,65000.0,0,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,0,0,0,1,1,65000.0,5,2.0
27,NX 350 F SPORT Handling,820.0,3,2.4 Liter,0,0,0,1,0,51998.0,1,3.5
16,G70 2.0T,4785.0,3,2.0L I4 16V GDI DOHC Turbo,0,0,0,1,1,42850.0,1,3.6
43,911 GT2 RS,4529.0,3,3.8L H6 24V GDI DOHC Twin Turbo,3,0,0,1,1,417500.0,6,4.0
28,Navigator L,95000.0,3,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,0,0,0,1,1,10900.0,16,2.4
3,SQ5 3.0T Premium Plus,60000.0,3,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,0,0,0,0,1,24700.0,8,6.0
38,Lancer Evolution GSR,33000.0,3,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,2,0,0,1,1,34999.0,12,3.8
52,Model Y Performance,500.0,2,455.0HP Electric Motor Electric Fuel System,0,0,9,1,1,60000.0,1,2.0
36,GLS 550 Base 4MATIC,74422.0,3,4.7 Liter Twin Turbo,0,0,3,1,0,44798.0,6,3.5
39,Titan XD SV,10001.0,3,5.6L V8 32V GDI DOHC,0,0,0,1,1,47214.0,4,1.5
27,LX 570 Three-Row,19050.0,3,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,0,0,6,1,1,76900.0,5,2.0
36,Sprinter High Roof,65000.0,0,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,0,0,0,0,1,54999.0,10,5.0
4,X5 3.0i,140000.0,3,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,0,0,6,1,1,6730.0,20,3.7
14,Shelby GT500 Base,15629.0,3,5.8L V8 32V MPFI DOHC Supercharged,2,0,0,1,0,61900.0,10,2.0
36,SL-Class SL 550,115000.0,3,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,0,0,0,0,1,36000.0,11,5.2
17,S2000 CR,82323.0,3,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,2,0,0,1,1,28500.0,16,3.5
28,Navigator L Reserve,67073.0,3,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,0,0,0,0,1,47999.0,5,3.5
52,Model X Base,8200.0,2,670.0HP Electric Motor Electric Fuel System,0,0,0,1,1,93999.0,1,3.0
54,Routan SE,123815.0,3,283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,0,0,3,1,1,5000.0,12,3.0
