brand,model,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,age,Engine_Displacement
Ford,Utility Police Interceptor Base,51000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,black,black,At least 1 accident or damage reported,Yes,10300.0,11,3.7
INFINITI,Q50 Hybrid Sport,88900.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,black,black,None reported,Yes,15500.0,9,3.8
Lexus,RC 350 F Sport,23436.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,41927.0,3,3.5
Tesla,Model X Long Range Plus,34000.0,Electric,534.0HP Electric Motor Electric Fuel System,Automatic,black,black,None reported,Yes,69950.0,4,3.5
Lincoln,Aviator Reserve AWD,18196.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,brown,None reported,Yes,62000.0,2,2.0
Dodge,Challenger SXT,61074.0,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,black,gray,None reported,Yes,16800.0,11,2.4
Hyundai,Elantra N Base,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,32300.0,2,2.0
Audi,Q5 2.0T Premium Plus,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Automatic,black,black,None reported,Yes,21375.0,7,4.4
BMW,i3 120Ah w/Range Extender,35035.0,Hybrid,120 AH,Automatic,black,black,None reported,No,24998.0,4,3.5
Kia,Sorento SX,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,5999.0,13,3.683781266631186
Lexus,LX 570 Base,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,black,other,None reported,Yes,46900.0,8,3.683781266631186
Bentley,Continental GTC Base,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,Automatic,black,black,None reported,Yes,79950.0,13,5.2
Audi,A7 Premium,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,brown,At least 1 accident or damage reported,Yes,36880.0,12,3.0
Chevrolet,Silverado 1500 Custom Trail Boss,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,black,black,None reported,Yes,43147.0,3,3.0
MINI,Convertible John Cooper Works,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,29000.0,7,2.0
Toyota,Avalon Touring,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,17500.0,8,5.0
Mercedes-Benz,CLA-Class CLA 250,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,19800.0,8,2.0
